location,verse,video_idea
Jeremiah 5:22,"Do you not fear me? declares the LORD. Do you not tremble before me? I placed the sand as the boundary for the sea, a perpetual barrier that it cannot pass; though the waves toss, they cannot prevail; though they roar, they cannot pass over it.",ocean_22s.mp4
1 Chronicles 28:20,"Then David said to Solomon his son, Be strong and courageous and do it. Do not be afraid and do not be dismayed, for the LORD God, even my God, is with you. He will not leave you or forsake you, until all the work for the service of the house of the LORD is finished.",ocean_22s.mp4
Hebrews 4:14-16,"Since then we have a great high priest who has passed through the heavens, Jesus, the Son of God, let us hold fast our confession. For we do not have a high priest who is unable to sympathize with our weaknesses, but one who in every respect has been tempted as we are, yet without sin. Let us then with confidence draw near to the throne of grace, that we may receive mercy and find grace to help in time of need.",ocean_22s.mp4
Isaiah 55:5,"Behold, you shall call a nation that you do not know, and a nation that did not know you shall run to you, because of the LORD your God, and of the Holy One of Israel, for he has glorified you.",ocean_22s.mp4
Ezekiel 34:11-13,"For thus says the Lord GOD Behold, I, I myself will search for my sheep and will seek them out. As a shepherd seeks out his flock when he is among his sheep that have been scattered, so will I seek out my sheep, and I will rescue them from all places where they have been scattered on a day of clouds and thick darkness. And I will bring them out from the peoples and gather them from the countries, and will bring them into their own land. And I will feed them on the mountains of Israel, by the ravines, and in all the inhabited places of the country.",ocean_22s.mp4
Ezekiel 11:19-20,"And I will give them one heart, and a new spirit I will put within them. I will remove the heart of stone from their flesh and give them a heart of flesh, that they may walk in my statutes and keep my rules and obey them. And they shall be my people, and I will be their God.",ocean_22s.mp4
Romans 12:1-2,"I appeal to you therefore, brothers, by the mercies of God, to present your bodies as a living sacrifice, holy and acceptable to God, which is your spiritual worship. Do not be conformed to this world, but be transformed by the renewal of your mind, that by testing you may discern what is the will of God, what is good and acceptable and perfect.",ocean_22s.mp4
Romans 1:16,"For I am not ashamed of the gospel, for it is the power of God for salvation to everyone who believes, to the Jew first and also to the Greek.",ocean_22s.mp4
Hebrews 10:24-25,"And let us consider how to stir up one another to love and good works, not neglecting to meet together, as is the habit of some, but encouraging one another, and all the more as you see the Day drawing near.",ocean_22s.mp4
Phillippians 4:6-7,"do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God. And the peace of God, which surpasses all understanding, will guard your hearts and your minds in Christ Jesus.",ocean_22s.mp4
Joshua 1:8,"This Book of the Law shall not depart from your mouth, but you shall meditate on it day and night, so that you may be careful to do according to all that is written in it. For then you will make your way prosperous, and then you will have good success.",ocean_22s.mp4
Psalm 139:1-6,"O LORD, you have searched me and known me! You know when I sit down and when I rise up; you discern my thoughts from afar. You search out my path and my lying down and are acquainted with all my ways. Even before a word is on my tongue, behold, O LORD, you know it altogether. You hem me in, behind and before, and lay your hand upon me. Such knowledge is too wonderful for me; it is high; I cannot attain it.",ocean_22s.mp4
1 John 2:7-8,"Beloved, I am writing you no new commandment, but an old commandment that you had from the beginning. The old commandment is the word that you have heard. At the same time, it is a new commandment that I am writing to you, which is true in him and in you, because the darkness is passing away and the true light is already shining.",ocean_22s.mp4
Isaiah 43:1,"But now thus says the LORD, he who created you, O Jacob, he who formed you, O Israel Fear not, for I have redeemed you; I have called you by name, you are mine.",ocean_22s.mp4
1 John 3:16,"See what kind of love the Father has given to us, that we should be called children of God; and so we are. The reason why the world does not know us is that it did not know him.",ocean_22s.mp4
Isaiah 43:5-7,"Fear not, for I am with you; I will bring your offspring from the east, and from the west I will gather you. I will say to the north, Give up, and to the south, Do not withhold; bring my sons from afar and my daughters from the end of the earth, everyone who is called by my name, whom I created for my glory, whom I formed and made.",ocean_22s.mp4
Isaiah 43:18-19,"Remember not the former things, nor consider the things of old. Behold, I am doing a new thing; now it springs forth, do you not perceive it? I will make a way in the wilderness and rivers in the desert.",ocean_22s.mp4
Psalm 100:1-3,"Make a joyful noise to the LORD, all the earth! Serve the LORD with gladness! Come into his presence with singing! Know that the LORD, he is God! It is he who made us, and we are his; we are his people, and the sheep of his pasture.",ocean_22s.mp4
Psalm 28:6-7,"Blessed be the LORD! For he has heard the voice of my pleas for mercy. The LORD is my strength and my shield; in him my heart trusts, and I am helped; my heart exults, and with my song I give thanks to him.",ocean_22s.mp4
Psalm 32:7,You are a hiding place for me; you preserve me from trouble; you surround me with shouts of deliverance.,ocean_22s.mp4
Psalm 42:5,"Why are you cast down, O my soul, and why are you in turmoil within me? Hope in God; for I shall again praise him, my salvation",ocean_22s.mp4
Romans 11:36,For from him and through him and to him are all things. To him be glory forever. Amen.,ocean_22s.mp4
Romans 12:9-13,"Let love be genuine. Abhor what is evil; hold fast to what is good. Love one another with brotherly affection. Outdo one another in showing honor. Do not be slothful in zeal, be fervent in spirit, serve the Lord. Rejoice in hope, be patient in tribulation, be constant in prayer. Contribute to the needs of the saints and seek to show hospitality.",ocean_22s.mp4
Zephaniah 3:17,"The LORD your God is in your midst, a mighty one who will save; he will rejoice over you with gladness; he will quiet you by his love; he will exult over you with loud singing.",ocean_22s.mp4
Galatians 5:1,"For freedom Christ has set us free; stand firm therefore, and do not submit again to a yoke of slavery.",ocean_22s.mp4
Phillippians 2:3,"Do nothing from selfish ambition or conceit, but in humility count others more significant than yourselves.",ocean_22s.mp4
Ecclesiastes 11:5,"As you do not know the way the spirit comes to the bones in the womb of a woman with child, so you do not know the work of God who makes everything.",ocean_22s.mp4
Ecclesiastes 12:13-14,"The end of the matter; all has been heard. Fear God and keep his commandments, for this is the whole duty of man. For God will bring every deed into judgment, with every secret thing, whether good or evil.",ocean_22s.mp4
1 Corinthians 10:12-13,"Therefore let anyone who thinks that he stands take heed lest he fall. No temptation has overtaken you that is not common to man. God is faithful, and he will not let you be tempted beyond your ability, but with the temptation he will also provide the way of escape, that you may be able to endure it.",ocean_22s.mp4
2 Corinthians 4:16-18,"So we do not lose heart. Though our outer self is wasting away, our inner self is being renewed day by day. For this light momentary affliction is preparing for us an eternal weight of glory beyond all comparison, as we look not to the things that are seen but to the things that are unseen. For the things that are seen are transient, but the things that are unseen are eternal.",ocean_22s.mp4
Ezekiel 37:12-14,"Therefore prophesy, and say to them, Thus says the Lord GOD Behold, I will open your graves and raise you from your graves, O my people. And I will bring you into the land of Israel. And you shall know that I am the LORD, when I open your graves, and raise you from your graves, O my people. And I will put my Spirit within you, and you shall live, and I will place you in your own land. Then you shall know that I am the LORD; I have spoken, and I will do it, declares the LORD.",ocean_22s.mp4